Question	Answer	Tags
"Question:
What is the foundational equation for hemodynamics?"	"Answer:
CO = HR × SV
Cardiac Output = Heart Rate × Stroke Volume"	ccrn::hemodynamics equations
"Question:
What determines stroke volume (SV)?"	"Answer:
Preload, afterload, and contractility of the ventricles"	ccrn::hemodynamics
"Question:
What is normal cardiac output (CO)?"	"Answer:
4-8 L/min"	ccrn::hemodynamics normal_values
"Question:
What is normal cardiac index (CI)?"	"Answer:
2.5-4.0 L/min/m²"	ccrn::hemodynamics normal_values
"Question:
Why is cardiac index (CI) more meaningful than CO?"	"Answer:
Takes into account body surface area (BSA)"	ccrn::hemodynamics
"Question:
What is normal stroke volume (SV)?"	"Answer:
50-100 mL per beat"	ccrn::hemodynamics normal_values
"Question:
What happens to CO as HR increases (up to a point)?"	"Answer:
CO increases"	ccrn::hemodynamics direction_of_change
"Question:
What is maximal HR from SA node for most people?"	"Answer:
Generally 130-170 beats per minute"	ccrn::hemodynamics
"Question:
What happens to CO with extreme bradycardia?"	"Answer:
Low CO and hypotension"	ccrn::hemodynamics direction_of_change
"Question:
What is first sign of compensation for low CO?"	"Answer:
Increase in HR (occurs before BP drops)"	ccrn::hemodynamics
"Question:
What happens to CO with extreme tachycardia?"	"Answer:
CO decreases due to loss of diastolic filling time"	ccrn::hemodynamics direction_of_change
"Question:
Why does extreme tachycardia decrease CO?"	"Answer:
Loss of diastolic filling time → ventricles don't have time to fill → ventricular preload drops → ventricle cannot put out what is not delivered"	ccrn::hemodynamics
"Question:
What happens to CO as stroke volume increases?"	"Answer:
CO increases"	ccrn::hemodynamics direction_of_change
"Question:
What is preload?"	"Answer:
Volume/pressure in the ventricle at end of diastole after AV valves close, just prior to ejection"	ccrn::hemodynamics
"Question:
What reflects right ventricular preload?"	"Answer:
Right atrial (RA) pressure or central venous pressure (CVP)"	ccrn::hemodynamics
"Question:
What reflects left ventricular preload?"	"Answer:
PAOP (pulmonary artery occlusion pressure)"	ccrn::hemodynamics
"Question:
What happens to SV and CO as preload increases (up to a point)?"	"Answer:
SV and CO increase"	ccrn::hemodynamics direction_of_change
"Question:
What may happen with too high preload?"	"Answer:
Heart failure"	ccrn::hemodynamics
"Question:
What is afterload?"	"Answer:
Pressure (resistance) against which ventricle must pump to open the valve (pulmonic or aortic)"	ccrn::hemodynamics
"Question:
How is right ventricular afterload measured?"	"Answer:
Pulmonary vascular resistance (PVR)"	ccrn::hemodynamics
"Question:
How is left ventricular afterload measured?"	"Answer:
Systemic vascular resistance (SVR)"	ccrn::hemodynamics
