Question	Answer	Tags
What is a vasopressor?	Agent that causes vascular constriction (venous or arterial); raises blood pressure.	ccrn::pharmacology ccrn::definitions
What is an inotrope?	Agent that affects the force of myocardial contraction.	ccrn::pharmacology ccrn::definitions
What is a positive inotrope?	Agent that increases myocardial contractility (e.g., epinephrine, dobutamine).	ccrn::pharmacology ccrn::definitions
What is a negative inotrope?	Agent that decreases myocardial contractility (e.g., beta-blockers).	ccrn::pharmacology ccrn::definitions
What is an inodilator?	Agent with combined inotropic + vasodilatory effects (e.g., dobutamine, milrinone).	ccrn::pharmacology ccrn::definitions
What is an inopressor?	Agent with combined inotropic + vasopressor effects (e.g., epinephrine at high dose).	ccrn::pharmacology ccrn::definitions
What is a chronotropic agent?	Agent that increases heart rate by affecting the electrical system (e.g., epinephrine).	ccrn::pharmacology ccrn::definitions
What is a dromotropic agent?	Agent that increases conduction speed through the AV node (e.g., epinephrine).	ccrn::pharmacology ccrn::definitions
What is a lusitropic agent?	Agent that promotes diastolic relaxation; catecholamines are positive lusitropes.	ccrn::pharmacology ccrn::definitions
What is bathmotropy?	Myocardial excitability; positive bathmotropy brings resting membrane potential closer to depolarization threshold.	ccrn::pharmacology ccrn::definitions
What are the 4 main classes of shock?	Hypovolemic; Distributive; Cardiogenic; Obstructive	ccrn::pharmacology ccrn::shock
How is shock defined?	Inadequate organ perfusion.	ccrn::pharmacology ccrn::shock
What is the first-line treatment for hypovolemic shock?	Volume resuscitation.	ccrn::pharmacology ccrn::shock
What is the first-line treatment for distributive shock?	Vasopressors to increase SVR.	ccrn::pharmacology ccrn::shock
What is the first-line treatment for cardiogenic shock?	Inotropy or mechanical circulatory support.	ccrn::pharmacology ccrn::shock
What distinguishes distributive from hypovolemic shock on echo?	Both have low afterload; hypovolemic also has low preload; distributive has adequate preload.	ccrn::pharmacology ccrn::shock
What are the hemodynamic effects of alpha-1 receptor activation?	Smooth muscle contraction; vasoconstriction; increased arterial pressure; sphincter contraction.	ccrn::pharmacology ccrn::receptors
What are the hemodynamic effects of alpha-2 receptor activation?	May lower blood pressure and heart rate; alters norepinephrine neurotransmitter function.	ccrn::pharmacology ccrn::receptors
