Question	Answer	Tags
"Question:
What is shock?"	"Answer:
A cellular disease due to inadequate perfusion (O2 demand > O2 delivered) or inability of cells to utilize delivered oxygen"	ccrn::multisystem shock
"Question:
What are the 3 stages of shock?"	"Answer:
1. Compensatory
2. Progressive
3. Refractory"	ccrn::multisystem shock
"Question:
What maintains BP during compensatory stage of shock?"	"Answer:
1. Sympathetic nervous system stimulation
2. Renin-angiotensin-aldosterone system (RAAS) activation"	ccrn::multisystem shock
"Question:
What are clinical signs of compensatory stage of shock?"	"Answer:
- Tachycardia
- Tachypnea, respiratory alkalosis
- Normal PaO2
- Oliguria
- Pale, cool skin (except early sepsis)
- Restlessness, anxiety
- Thirst
- BP maintained"	ccrn::multisystem shock
"Question:
What are clinical signs of progressive stage of shock?"	"Answer:
- Hypotension
- Worsening tachycardia, tachypnea, oliguria
- Metabolic acidosis
- Decreased PaO2
- Clammy, mottled skin
- Further change in LOC
- Nausea"	ccrn::multisystem shock
"Question:
What are clinical signs of refractory stage of shock?"	"Answer:
- Not responsive to interventions
- Severe systemic hypoperfusion
- Multiple organ dysfunction syndrome (MODS)"	ccrn::multisystem shock mods
"Question:
What organs may fail after surviving shock?"	"Answer:
- Pulmonary (ARDS)
- Kidney (acute tubular necrosis)
- Heart (failure, ischemia)
- Hematologic (DIC)
- Neurological (encephalopathy, stroke)
- Liver (failure)"	ccrn::multisystem shock mods
"Question:
What are the types of shock?"	"Answer:
- Hypovolemic
- Septic
- Anaphylactic
- Neurogenic
- Cardiogenic
- Obstructive"	ccrn::multisystem shock
"Question:
What causes hypovolemic shock?"	"Answer:
Critical reduction in circulating intravascular volume leading to inadequate tissue perfusion"	ccrn::multisystem shock hypovolemic
"Question:
What are internal causes of hypovolemic shock?"	"Answer:
Third-spacing or pooling in the intravascular compartment"	ccrn::multisystem shock hypovolemic
"Question:
What are external causes of hypovolemic shock?"	"Answer:
Hemorrhage, GI or renal losses, burns, excessive diaphoresis"	ccrn::multisystem shock hypovolemic
"Question:
How does hypovolemia affect pulse pressure?"	"Answer:
Systolic decreases, diastolic maintains or elevates → NARROW pulse pressure"	ccrn::multisystem shock hypovolemic
"Question:
What are hemodynamics of hypovolemic shock?"	"Answer:
↓ BP, ↓ Pulse pressure, ↓ CVP, ↓ CO, ↓ O2 delivery, ↓ PAOP, ↓ SvO2
↑ SVR
Everything decreased except SVR"	ccrn::multisystem shock hypovolemic hemodynamics
"Question:
What is primary treatment of hypovolemic shock?"	"Answer:
- Identify and correct etiology
- Replace volume (\"Fill up the tank!\")
- Rapid, vigorous volume loading
- Avoid vasopressors"	ccrn::multisystem shock hypovolemic
